"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*OTTAWA CDA","ON"," 45°23'00.000"" N"," 75°43'00.000"" W","79.2 m","6105976","","WCG"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-10.2","-7.9","-2.2","6.5","13.5","18.7","21.2","19.9","15.3","8.4","2.0","-5.6","6.6","A"
"Standard Deviation","3.4","2.5","2.2","1.6","1.7","1.3","1.1","1.3","1.5","1.3","1.8","3.3","0.9","A"
"Daily Maximum (°C)","-5.8","-3.1","2.4","11.4","19.0","24.1","26.6","25.4","20.5","12.8","5.5","-2.0","11.4","A"
"Daily Minimum (°C)","-14.4","-12.5","-6.8","1.5","8.0","13.3","15.7","14.5","10.1","4.0","-1.5","-9.2","1.9","A"
"Extreme Maximum (°C)","11.8","12.2","25.6","31.2","35.0","36.7","37.8","37.8","36.7","29.4","23.3","16.1","",""
"Date (yyyy/dd)","2005/13","1953/21","1945/28","1990/27","1921/21","1921/22","1913/04","1917/01","1931/11","1891/03","1961/03","1951/07",""," "
"Extreme Minimum (°C)","-37.8","-38.3","-36.7","-20.6","-7.2","0.0","3.3","1.7","-4.4","-12.8","-23.9","-38.9","",""
"Date (yyyy/dd)","1925/19","1934/17","1938/04","1923/01","1902/10","1910/04","1942/10","1934/30","1947/28","1933/26","1925/30","1933/29",""," "
"Precipitation"
"Rainfall (mm)","23.0","17.9","28.8","63.2","86.6","92.7","84.4","83.8","92.7","83.1","67.5","31.9","755.5","A"
